#{"t_start": 1713284787.1617033, "env_id": "None"}
r,l,t
1359.557808,63,41737.062039
408.184129,22,41742.079638
2493.301696,89,41780.378386
5242.145764,198,41829.058149
3779.074733,131,41859.12415
730.562537,36,41867.588337
655.131038,31,41875.341229
633.064675,29,41882.788149
936.666797,53,41895.688785
4011.46063,174,41937.470055
2735.337681,95,41959.753676
2887.34633,109,41984.869706
340.656784,19,41989.419673
894.988191,45,42000.368639
1404.216556,60,42014.266399
1459.41355,63,42037.880566
7985.289483,269,42098.865353
2246.988956,93,42120.461862
2701.194256,110,42146.128335
130.265286,12,42148.994845
1737.957843,72,42165.592495
107.967274,11,42175.061855
249.545353,23,42179.728239
174.653772,14,42182.730844
208.55966,21,42187.211634
1224.616202,58,42200.676275
810.36188,40,42209.674847
4581.380325,166,42261.99007
4622.684159,163,42299.489747
758.45062,33,42307.106581
114.534952,21,42311.73906
1618.169897,78,42330.305904
2197.060141,84,42349.086659
2976.841097,138,42383.103764
2479.520772,98,42405.419826
2433.541549,108,42429.71691
2046.263291,78,42447.364365
1689.608451,90,42467.966381
2560.33515,107,42515.281908
2474.510961,97,42537.281411
1023.84808,41,42546.896196
798.941297,37,42555.127929
457.809294,33,42562.595252
1514.467042,55,42575.545411
481.812449,27,42581.995554
103.093407,10,42584.229298
2268.684016,108,42611.692538
5640.54018,225,42662.474548
841.636386,49,42673.025741
1714.805758,67,42687.840537
291.099498,21,42692.556582
107.265869,11,42694.824374
1220.993116,54,42707.126469
250.551636,21,42711.590255
1151.395161,53,42727.102249
738.948373,37,42735.439042
834.25485,43,42744.938581
3424.749446,130,42773.982492
204.521008,14,42776.871234
431.896606,29,42783.586492
202.3753,18,42804.203641
112.012105,9,42806.452608
895.668178,43,42816.533576
1547.337123,73,42833.46661
1825.055818,68,42848.884084
1442.591593,67,42863.650202
1942.236527,91,42893.297989
2373.838654,88,42912.749089
559.067182,28,42919.035541
670.941377,29,42925.365296
210.771005,16,42928.982023
430.763244,24,42934.54826
1848.584461,69,42950.098443
728.111285,35,42959.714035
125.197986,15,42963.030326
933.769582,43,42972.446521
2071.641386,87,42992.361305
832.933674,44,43002.492985
494.236427,31,43032.277889
2599.974581,100,43055.408097
5704.064931,214,43104.121756
2076.410479,88,43124.024268
203.449858,18,43128.122784
845.972926,45,43138.523658
180.422435,16,43154.469587
3163.569631,124,43182.588193
5659.332702,206,43229.519893
689.918362,35,43237.466132
1133.183836,41,43247.900872
211.827652,15,43251.835508
1764.526668,71,43270.517466
895.63996,35,43282.334931
3441.41619,142,43314.399578
128.112746,18,43318.782568
676.76885,32,43326.54717
884.266947,40,43335.59735
1842.756432,72,43352.430271
1867.06637,86,43379.029174
